TreeID,Species,Height_m,DBH_cm_hlayer_0.5,DBH_cm_hlayer_0.1,DBH_cm_hlayer_0.05,Stem_coverage,Point Count,dbh (cm),Biomass_stem,Biomass_branch,id,voxel_size,0-1.3m Total,1.3-8m Total,8-14m Total,14+m Total,0-1.3m Stem,1.3-8m Stem,8-14m Stem,14+m Stem,0-1.3m Foliage,1.3-8m Foliage,8-14m Foliage,14+m Foliage
1059,Spruce,20.823,11.7247725200459,11.6297390897125,11.696132506489,0.278538154924842,841841,11.6297390897125,1301.2585796570145,1000.8468618072967,1059,0.4,288.8905005069642,1360.2467689812102,432.8665409729408,220.10163100318988,73.6800168594008,284.1943507434033,0.0,0.0,215.21048364756342,1076.052418237807,432.8665409729408,220.10163100318988
1061,Spruce,21.464,29.2397029598011,25.6734938770158,25.5253487095557,0.661572866194558,498130,25.5253487095557,2047.7085418943884,1732.1282737373622,1061,0.4,103.27509304617045,1609.4063491274687,1389.4736743318822,677.68169912624,88.41357418671635,682.0475722975257,555.7424663165025,25.261021196204673,14.861518859454106,927.3587768299429,833.7312080153798,652.4206779300354
1062,Pine,21.663,22.9318694576515,22.7653696902587,22.9411126518927,0.544292110972626,248370,22.7653696902587,1882.2400560808182,745.2032925638958,1062,0.4,226.07107848294646,690.9302363602378,1067.8813088352417,642.5607249662883,187.16865463321295,415.93034362936226,415.93034362936226,0.0,38.90242384973352,274.9998927308755,651.9509652058794,642.5607249662883
1063,Spruce,17.694,22.2764616571761,21.6453159456587,21.7439738240276,0.587713349157906,226236,21.6453159456587,1507.5698207136643,1824.4592587598147,1063,0.4,325.5691896501123,1529.780885534536,1135.5285757710155,341.1504285178274,135.756169271772,644.8418040409165,101.817126953829,0.0,189.8130203783403,884.9390814936197,1033.7114488171865,341.1504285178274
1064,Pine,23.685,36.1023587370709,36.2039143952782,36.1533758823466,0.658602491028076,947777,36.1023587370709,2429.7544338195285,820.2340523957334,1064,0.4,197.1621016772491,1055.0445431635917,1179.435385838855,818.3464555355446,120.75805842517337,657.4605403148327,724.5483505510402,93.9229343306904,76.40404325207571,397.584002848759,454.8870352878146,724.4235212048542
1065,Spruce,21.147,22.8184586820675,22.9379072910581,22.8654352208715,0.728141107485697,833248,22.8184586820675,1923.2073939621055,1650.2659424538977,1065,0.4,105.7150852586008,1230.1344372637138,1453.853537321882,783.7702765718175,46.98679803493809,493.3613793668504,693.0552710153374,164.45379312228334,58.72828722366271,736.7730578968635,760.7982663065445,619.3164834495342
1066,Spruce,22.449375,24.1079787760361,24.2096166441097,24.133726480029,0.650324340878088,2376454,24.1079787760361,2126.0534087598203,1624.7866170670238,1066,0.4,81.47378705196513,1508.9607643572226,1318.6437648715153,841.7617095460888,68.96487520965219,772.4066023481039,482.7541264675655,55.17190016772175,12.508911842312942,736.5541620091188,835.8896384039498,786.589809378367
1068,Spruce,22.749,27.1720056888652,27.0437205475039,26.9920612043844,0.659325684645479,421155,26.9920612043844,2256.061957688363,1702.9378689241544,1068,0.4,315.57172695966403,1336.7583501689487,1284.2592159349606,1022.4105335489263,132.24226273592714,719.9856526733814,514.2754661952723,117.54867798749079,183.32946422373692,616.7726974955674,769.9837497396882,904.8618555614355
1069,Spruce,22.242,14.8077945770061,15.0568543950302,14.888543220267,0.602373887240357,6720017,14.8077945770061,1659.8269989446296,1183.4402398258055,1069,0.4,118.00721273494882,1407.694073530156,1052.3984838069455,265.1674686983919,75.71056128612565,605.6844902890048,315.46067202552354,0.0,42.29665144882317,802.0095832411513,736.9378117814218,265.1674686983919
1070,Pine,23.398,24.2192110012745,24.1636940960751,24.2266332080844,0.658004957688691,2721634,24.1636940960751,2114.841265809848,701.2551978375124,1070,0.4,216.91159478740192,976.1504115466735,811.8701842362179,811.1642730770777,196.01952402979762,669.7333737684752,392.0390480595951,130.67968268653172,20.89207075760431,306.4170377781983,419.83113617662286,680.484590390546
1071,Spruce,20.997,16.9079767897686,16.259520180039,16.2287441985302,0.676096585226462,903003,16.2287441985302,1621.5851044185322,1328.4283667243712,1071,0.4,199.6136088883781,1144.16835929675,1200.7891972805228,405.44230567725936,93.75725961436835,484.41250800757007,484.41250800757007,31.252419871456116,105.85634927400974,659.7558512891799,716.3766892729528,374.1898858058032
1072,Pine,22.296,26.7813417682099,26.7109520978541,26.7003715256285,0.690662002152853,976950,26.7003715256285,2064.758035048014,780.0012427168746,1072,0.4,96.44641416874202,845.5557082470194,867.9189467444619,1034.8382086046554,90.84078742824919,696.4460369499097,514.764462093412,121.12104990433225,5.605626740492841,149.10967129710966,353.15448465104987,913.7171587003232
1073,Pine,22.738,31.998552861226,31.9508126190267,31.9885575992504,0.71237575864192,6673368,31.9508126190267,2235.8736400524895,822.9397102623117,1073,0.4,225.8767259501693,728.9705204517809,886.5666257891455,1217.3994781237175,141.32685802366254,541.7529557573724,624.1936229378421,282.653716047325,84.54986792650675,187.21756469440842,262.3730028513035,934.7457620763923
1074,Spruce,25.198,19.807546527299,19.9476677988311,20.0233420919545,0.491983490753235,9141636,19.807546527299,2292.038216605097,1323.2209675686902,1074,0.4,215.05874196708046,1674.4252890338594,1257.416514647914,468.3586385249142,146.46075955686527,524.8177217454341,451.5873419670014,0.0,68.5979824102152,1149.6075672884251,805.8291726809126,468.3586385249142
1075,Spruce,19.949,19.5027730926513,19.6326998323305,19.8780500899141,0.651611609604492,5518746,19.5027730926513,1667.0640731202523,1568.7066566309127,1075,0.4,187.80260046078433,1457.2857661484845,1102.7658443810728,487.91651876081124,120.3553169850247,461.36204844259447,501.4804874376027,0.0,67.44728347575962,995.92371770589,601.2853569434701,487.91651876081124
1076,Dead,20.748,23.4903980810124,23.4138161125719,23.393658184743,0.992834650729388,1130343,23.393658184743,0.0,0.0,1076,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1077,Spruce,15.999,13.7824459633346,13.6806938407765,13.6703728688321,0.79979998749922,5597906,13.6703728688321,1054.0556827745993,1406.0130980222239,1077,0.4,112.91404307574092,1401.7679142371812,869.0348544274782,76.35196905643214,51.53304834409943,446.6197523155282,343.5536556273295,0.0,61.380994731641486,955.1481619216529,525.4811988001487,76.35196905643214
1078,Spruce,24.292,29.8999169681481,29.0134673198855,29.0798548333906,0.559566935616665,281023,29.0134673198855,2528.1837307503574,1672.8508047768817,1078,0.4,303.88603049247195,1899.43887038278,1263.2371410358664,734.4724936161045,132.19116185494053,749.0832505113293,528.7646474197619,0.0,171.6948686375314,1150.3556198714505,734.4724936161045,734.4724936161045
